年份_国家,Top_Scholars,Total_Prof,STEM_Scale,STEM_Intensity,Migration_Idx,Skill_Pen,Papers,FWCI,Patents,Compute_E,Power_MW,GPU_Stock,5G_Cover,Investment,Unicorns,GDP_Contrib,Adoption,Policy,Data_Open
2016_USA,39.48,99.40,59.50,14.51,0.64,1.54,11.05,0.94,0.20,4.25,10750.00,31.00,49.25,5.26,16.25,1.55,32.50,6.16,6.58
2016_China,17.36,80.50,339.50,28.29,0.01,1.05,10.95,0.40,0.66,2.10,6240.00,10.50,29.76,1.73,8.60,0.87,22.50,6.79,6.16
2016_UAE,0.42,5.04,1.96,16.33,0.67,1.33,0.03,0.06,0.00,0.78,340.00,1.75,4.85,0.69,0.45,0.18,3.10,6.93,5.46
2016_UK,4.27,27.30,13.30,14.45,0.17,1.26,2.45,0.74,0.03,0.23,1050.00,0.60,46.00,0.45,1.50,1.05,24.00,6.30,6.30
2016_France,2.80,18.20,11.90,14.00,0.22,0.91,1.80,0.78,0.02,0.26,1100.00,0.75,46.50,0.33,0.70,0.90,22.50,5.74,5.60
2016_South Korea,1.75,13.30,11.20,18.07,-0.01,1.12,1.65,0.59,0.11,0.44,1600.00,1.10,49.75,0.21,0.50,1.10,25.50,6.16,5.74
2016_Japan,1.19,18.90,15.40,23.70,-0.07,0.77,1.35,0.51,0.10,0.46,2100.00,0.90,48.00,0.18,0.40,0.60,19.00,5.95,5.60
2016_Germany,2.17,22.40,15.40,22.64,0.07,0.98,1.95,0.68,0.04,0.19,825.00,0.45,47.50,0.32,0.80,0.85,27.50,5.46,5.25
2016_Canada,2.94,14.70,9.10,16.55,0.32,1.19,1.50,0.82,0.01,0.13,700.00,0.30,45.50,0.24,0.65,0.80,21.00,5.95,5.95
2016_India,1.26,61.60,185.50,17.67,-0.32,2.31,3.40,0.41,0.07,0.16,625.00,0.40,44.00,0.23,0.80,0.70,34.00,5.25,4.76
2017_USA,41.36,104.13,62.33,15.20,0.67,1.61,12.28,1.04,0.21,4.60,11944.44,33.55,54.72,5.69,17.59,1.72,36.11,6.45,6.89
2017_China,18.19,84.33,355.67,29.64,0.01,1.10,13.79,0.50,0.71,2.27,7857.78,11.36,37.48,1.87,9.31,1.10,28.33,7.11,6.45
2017_UAE,0.44,5.28,2.05,17.11,0.70,1.39,0.08,0.19,0.00,0.84,1057.78,1.89,15.09,0.75,0.49,0.54,9.64,7.26,5.72
2017_UK,4.47,28.60,13.93,15.14,0.18,1.32,2.72,0.82,0.03,0.24,1166.67,0.65,51.11,0.48,1.62,1.17,26.67,6.60,6.60
2017_France,2.93,19.07,12.47,14.67,0.23,0.95,2.00,0.86,0.02,0.28,1222.22,0.81,51.67,0.35,0.76,1.00,25.00,6.01,5.87
2017_South Korea,1.83,13.93,11.73,18.93,-0.01,1.17,1.83,0.66,0.12,0.48,1777.78,1.19,55.28,0.23,0.54,1.22,28.33,6.45,6.01
2017_Japan,1.25,19.80,16.13,24.82,-0.07,0.81,1.50,0.57,0.10,0.50,2333.33,0.97,53.33,0.19,0.43,0.67,21.11,6.23,5.87
2017_Germany,2.27,23.47,16.13,23.72,0.07,1.03,2.17,0.75,0.04,0.21,916.67,0.49,52.78,0.35,0.87,0.94,30.56,5.72,5.50
2017_Canada,3.08,15.40,9.53,17.34,0.33,1.25,1.67,0.92,0.02,0.14,777.78,0.32,50.56,0.26,0.70,0.89,23.33,6.23,6.23
2017_India,1.32,64.53,194.33,18.51,-0.33,2.42,3.78,0.46,0.07,0.17,694.44,0.43,48.89,0.25,0.87,0.78,37.78,5.50,4.99
2018_USA,43.24,108.87,65.17,15.89,0.70,1.69,13.51,1.15,0.29,6.23,13138.89,45.43,60.19,7.71,23.82,1.89,39.72,6.75,7.21
2018_China,19.01,88.17,371.83,30.99,0.02,1.15,16.63,0.60,0.97,3.08,9475.56,15.39,45.19,2.53,12.60,1.32,34.17,7.44,6.75
2018_UAE,0.46,5.52,2.15,17.89,0.74,1.46,0.13,0.33,0.01,1.14,1775.56,2.56,25.33,1.01,0.66,0.91,16.19,7.59,5.98
2018_UK,4.68,29.90,14.57,15.83,0.19,1.38,2.99,0.90,0.04,0.33,1283.33,0.88,56.22,0.65,2.20,1.28,29.33,6.90,6.90
2018_France,3.07,19.93,13.03,15.33,0.25,1.00,2.20,0.95,0.03,0.38,1344.44,1.10,56.83,0.48,1.03,1.10,27.50,6.29,6.13
2018_South Korea,1.92,14.57,12.27,19.79,-0.01,1.23,2.02,0.72,0.16,0.64,1955.56,1.61,60.81,0.31,0.73,1.34,31.17,6.75,6.29
2018_Japan,1.30,20.70,16.87,25.95,-0.08,0.84,1.65,0.62,0.14,0.67,2566.67,1.32,58.67,0.26,0.59,0.73,23.22,6.52,6.13
2018_Germany,2.38,24.53,16.87,24.80,0.08,1.07,2.38,0.83,0.06,0.28,1008.33,0.66,58.06,0.47,1.17,1.04,33.61,5.98,5.75
2018_Canada,3.22,16.10,9.97,18.12,0.34,1.30,1.83,1.01,0.02,0.18,855.56,0.44,55.61,0.35,0.95,0.98,25.67,6.52,6.52
2018_India,1.38,67.47,203.17,19.35,-0.34,2.53,4.16,0.50,0.10,0.23,763.89,0.59,53.78,0.34,1.17,0.86,41.56,5.75,5.21
2019_USA,45.12,113.60,68.00,16.58,0.73,1.76,14.73,1.25,0.45,9.70,14333.33,70.77,65.67,12.01,37.10,2.07,43.33,7.04,7.52
2019_China,19.84,92.00,388.00,32.34,0.02,1.20,19.47,0.70,1.51,4.79,11093.33,23.97,52.91,3.94,19.63,1.55,40.00,7.76,7.04
2019_UAE,0.48,5.76,2.24,18.66,0.77,1.52,0.18,0.46,0.01,1.77,2493.33,4.00,35.57,1.58,1.03,1.28,22.73,7.92,6.24
2019_UK,4.88,31.20,15.20,16.52,0.20,1.44,3.27,0.99,0.07,0.51,1400.00,1.37,61.33,1.02,3.42,1.40,32.00,7.20,7.20
2019_France,3.20,20.80,13.60,16.00,0.26,1.04,2.40,1.03,0.05,0.59,1466.67,1.71,62.00,0.74,1.60,1.20,30.00,6.56,6.40
2019_South Korea,2.00,15.20,12.80,20.65,-0.01,1.28,2.20,0.79,0.25,1.00,2133.33,2.51,66.33,0.48,1.14,1.47,34.00,7.04,6.56
2019_Japan,1.36,21.60,17.60,27.08,-0.08,0.88,1.80,0.68,0.22,1.05,2800.00,2.05,64.00,0.40,0.91,0.80,25.33,6.80,6.40
2019_Germany,2.48,25.60,17.60,25.88,0.08,1.12,2.60,0.90,0.09,0.43,1100.00,1.03,63.33,0.73,1.83,1.13,36.67,6.24,6.00
2019_Canada,3.36,16.80,10.40,18.91,0.36,1.36,2.00,1.10,0.03,0.29,933.33,0.68,60.67,0.55,1.48,1.07,28.00,6.80,6.80
2019_India,1.44,70.40,212.00,20.19,-0.36,2.64,4.53,0.55,0.15,0.37,833.33,0.91,58.67,0.53,1.83,0.93,45.33,6.00,5.44
2020_USA,47.00,118.33,70.83,17.27,0.76,1.83,15.96,1.36,0.71,15.44,15527.78,112.65,71.14,19.11,59.05,2.24,46.94,7.33,7.83
2020_China,20.67,95.83,404.17,33.68,0.02,1.25,22.31,0.81,2.40,7.63,12711.11,38.15,60.62,6.27,31.25,1.77,45.83,8.08,7.33
2020_UAE,0.50,6.00,2.33,19.44,0.80,1.58,0.24,0.59,0.02,2.82,3211.11,6.36,45.81,2.51,1.64,1.65,29.28,8.25,6.50
2020_UK,5.08,32.50,15.83,17.21,0.21,1.50,3.54,1.07,0.11,0.82,1516.67,2.18,66.44,1.62,5.45,1.52,34.67,7.50,7.50
2020_France,3.33,21.67,14.17,16.67,0.27,1.08,2.60,1.12,0.07,0.94,1588.89,2.73,67.17,1.18,2.54,1.30,32.50,6.83,6.67
2020_South Korea,2.08,15.83,13.33,21.51,-0.01,1.33,2.38,0.85,0.40,1.60,2311.11,4.00,71.86,0.76,1.82,1.59,36.83,7.33,6.83
2020_Japan,1.42,22.50,18.33,28.21,-0.08,0.92,1.95,0.74,0.35,1.67,3033.33,3.27,69.33,0.64,1.45,0.87,27.44,7.08,6.67
2020_Germany,2.58,26.67,18.33,26.96,0.08,1.17,2.82,0.98,0.15,0.69,1191.67,1.64,68.61,1.16,2.91,1.23,39.72,6.50,6.25
2020_Canada,3.50,17.50,10.83,19.70,0.38,1.42,2.17,1.19,0.05,0.45,1011.11,1.09,65.72,0.87,2.36,1.16,30.33,7.08,7.08
2020_India,1.50,73.33,220.83,21.03,-0.38,2.75,4.91,0.59,0.24,0.58,902.78,1.45,63.56,0.84,2.91,1.01,49.11,6.25,5.67
2021_USA,48.88,123.07,73.67,17.97,0.79,1.91,17.19,1.46,1.09,23.80,16722.22,173.63,76.61,29.46,91.02,2.41,50.56,7.63,8.15
2021_China,21.49,99.67,420.33,35.03,0.02,1.30,25.14,0.91,3.70,11.76,14328.89,58.81,68.34,9.66,48.17,2.00,51.67,8.41,7.63
2021_UAE,0.52,6.24,2.43,20.22,0.83,1.65,0.29,0.72,0.03,4.34,3928.89,9.80,56.04,3.86,2.52,2.02,35.82,8.58,6.76
2021_UK,5.29,33.80,16.47,17.90,0.22,1.56,3.81,1.15,0.17,1.26,1633.33,3.36,71.56,2.49,8.40,1.63,37.33,7.80,7.80
2021_France,3.47,22.53,14.73,17.33,0.28,1.13,2.80,1.21,0.11,1.46,1711.11,4.20,72.33,1.82,3.92,1.40,35.00,7.11,6.93
2021_South Korea,2.17,16.47,13.87,22.37,-0.01,1.39,2.57,0.92,0.62,2.46,2488.89,6.16,77.39,1.18,2.80,1.71,39.67,7.63,7.11
2021_Japan,1.47,23.40,19.07,29.34,-0.09,0.95,2.10,0.79,0.53,2.58,3266.67,5.04,74.67,0.98,2.24,0.93,29.56,7.37,6.93
2021_Germany,2.69,27.73,19.07,28.04,0.09,1.21,3.03,1.05,0.22,1.06,1283.33,2.52,73.89,1.79,4.48,1.32,42.78,6.76,6.50
2021_Canada,3.64,18.20,11.27,20.49,0.39,1.47,2.33,1.28,0.08,0.70,1088.89,1.68,70.78,1.34,3.64,1.24,32.67,7.37,7.37
2021_India,1.56,76.27,229.67,21.87,-0.39,2.86,5.29,0.64,0.36,0.90,972.22,2.24,68.44,1.29,4.48,1.09,52.89,6.50,5.89
2022_USA,50.76,127.80,76.50,18.66,0.82,1.98,18.42,1.57,1.61,35.10,17916.67,255.99,82.08,43.44,134.19,2.58,54.17,7.92,8.46
2022_China,22.32,103.50,436.50,36.38,0.02,1.35,27.98,1.01,5.45,17.34,15946.67,86.71,76.05,14.24,71.02,2.22,57.50,8.73,7.92
2022_UAE,0.54,6.48,2.52,21.00,0.86,1.71,0.34,0.85,0.04,6.40,4646.67,14.45,66.28,5.70,3.72,2.39,42.37,8.91,7.02
2022_UK,5.49,35.10,17.10,18.58,0.22,1.62,4.08,1.23,0.25,1.86,1750.00,4.95,76.67,3.67,12.39,1.75,40.00,8.10,8.10
2022_France,3.60,23.40,15.30,18.00,0.29,1.17,3.00,1.29,0.17,2.15,1833.33,6.19,77.50,2.68,5.78,1.50,37.50,7.38,7.20
2022_South Korea,2.25,17.10,14.40,23.23,-0.01,1.44,2.75,0.98,0.91,3.63,2666.67,9.08,82.92,1.73,4.13,1.83,42.50,7.92,7.38
2022_Japan,1.53,24.30,19.80,30.46,-0.09,0.99,2.25,0.85,0.78,3.80,3500.00,7.43,80.00,1.45,3.30,1.00,31.67,7.65,7.20
2022_Germany,2.79,28.80,19.80,29.11,0.09,1.26,3.25,1.13,0.33,1.57,1375.00,3.72,79.17,2.64,6.61,1.42,45.83,7.02,6.75
2022_Canada,3.78,18.90,11.70,21.28,0.40,1.53,2.50,1.37,0.12,1.03,1166.67,2.48,75.83,1.98,5.37,1.33,35.00,7.65,7.65
2022_India,1.62,79.20,238.50,22.72,-0.40,2.97,5.67,0.68,0.54,1.32,1041.67,3.30,73.33,1.90,6.61,1.17,56.67,6.75,6.12
2023_USA,52.64,132.53,79.33,19.35,0.85,2.05,19.64,1.67,2.28,49.60,19111.11,361.77,87.56,61.38,189.64,2.76,57.78,8.21,8.77
2023_China,23.15,107.33,452.67,37.73,0.02,1.40,30.82,1.11,7.70,24.51,17564.44,122.54,83.77,20.13,100.36,2.45,63.33,9.05,8.21
2023_UAE,0.56,6.72,2.61,21.77,0.90,1.77,0.39,0.99,0.05,9.04,5364.44,20.42,76.52,8.05,5.25,2.76,48.91,9.24,7.28
2023_UK,5.69,36.40,17.73,19.27,0.23,1.68,4.36,1.32,0.35,2.63,1866.67,7.00,81.78,5.19,17.51,1.87,42.67,8.40,8.40
2023_France,3.73,24.27,15.87,18.67,0.30,1.21,3.20,1.38,0.23,3.03,1955.56,8.75,82.67,3.79,8.17,1.60,40.00,7.65,7.47
2023_South Korea,2.33,17.73,14.93,24.09,-0.01,1.49,2.93,1.05,1.28,5.13,2844.44,12.84,88.44,2.45,5.84,1.96,45.33,8.21,7.65
2023_Japan,1.59,25.20,20.53,31.59,-0.09,1.03,2.40,0.91,1.11,5.37,3733.33,10.50,85.33,2.04,4.67,1.07,33.78,7.93,7.47
2023_Germany,2.89,29.87,20.53,30.19,0.09,1.31,3.47,1.20,0.47,2.22,1466.67,5.25,84.44,3.73,9.34,1.51,48.89,7.28,7.00
2023_Canada,3.92,19.60,12.13,22.06,0.42,1.59,2.67,1.47,0.18,1.46,1244.44,3.50,80.89,2.80,7.59,1.42,37.33,7.93,7.93
2023_India,1.68,82.13,247.33,23.56,-0.42,3.08,6.04,0.73,0.76,1.87,1111.11,4.67,78.22,2.68,9.34,1.24,60.44,7.00,6.35
2024_USA,54.52,137.27,82.17,20.04,0.88,2.13,20.87,1.78,3.10,67.57,20305.56,492.86,93.03,83.63,258.35,2.93,61.39,8.51,9.09
2024_China,23.97,111.17,468.83,39.07,0.02,1.45,33.66,1.22,10.49,33.39,19182.22,166.94,91.48,27.43,136.73,2.67,69.17,9.38,8.51
2024_UAE,0.58,6.96,2.71,22.55,0.93,1.84,0.45,1.12,0.07,12.32,6082.22,27.82,86.76,10.97,7.15,3.13,55.46,9.57,7.54
2024_UK,5.90,37.70,18.37,19.96,0.24,1.74,4.63,1.40,0.48,3.58,1983.33,9.54,86.89,7.07,23.85,1.98,45.33,8.70,8.70
2024_France,3.87,25.13,16.43,19.33,0.31,1.26,3.40,1.46,0.32,4.13,2077.78,11.92,87.83,5.17,11.13,1.70,42.50,7.93,7.73
2024_South Korea,2.42,18.37,15.47,24.95,-0.01,1.55,3.12,1.11,1.75,7.00,3022.22,17.49,93.97,3.34,7.95,2.08,48.17,8.51,7.93
2024_Japan,1.64,26.10,21.27,32.72,-0.10,1.06,2.55,0.96,1.51,7.31,3966.67,14.31,90.67,2.78,6.36,1.13,35.89,8.22,7.73
2024_Germany,3.00,30.93,21.27,31.27,0.10,1.35,3.68,1.28,0.64,3.02,1558.33,7.15,89.72,5.09,12.72,1.61,51.94,7.54,7.25
2024_Canada,4.06,20.30,12.57,22.85,0.43,1.64,2.83,1.56,0.24,1.99,1322.22,4.77,85.94,3.82,10.33,1.51,39.67,8.22,8.22
2024_India,1.74,85.07,256.17,24.40,-0.43,3.19,6.42,0.77,1.03,2.54,1180.56,6.36,83.11,3.66,12.72,1.32,64.22,7.25,6.57
2025_USA,56.40,142.00,85.00,20.73,0.91,2.20,22.10,1.88,4.09,89.25,21500.00,651.00,98.50,110.46,341.25,3.10,65.00,8.80,9.40
2025_China,24.80,115.00,485.00,40.42,0.02,1.50,36.50,1.32,13.86,44.10,20800.00,220.50,99.20,36.23,180.60,2.90,75.00,9.70,8.80
2025_UAE,0.60,7.20,2.80,23.33,0.96,1.90,0.50,1.25,0.09,16.28,6800.00,36.75,97.00,14.49,9.45,3.50,62.00,9.90,7.80
2025_UK,6.10,39.00,19.00,20.65,0.25,1.80,4.90,1.48,0.63,4.73,2100.00,12.60,92.00,9.35,31.50,2.10,48.00,9.00,9.00
2025_France,4.00,26.00,17.00,20.00,0.32,1.30,3.60,1.55,0.42,5.46,2200.00,15.75,93.00,6.83,14.70,1.80,45.00,8.20,8.00
2025_South Korea,2.50,19.00,16.00,25.81,-0.01,1.60,3.30,1.18,2.31,9.24,3200.00,23.10,99.50,4.41,10.50,2.20,51.00,8.80,8.20
2025_Japan,1.70,27.00,22.00,33.85,-0.10,1.10,2.70,1.02,1.99,9.66,4200.00,18.90,96.00,3.68,8.40,1.20,38.00,8.50,8.00
2025_Germany,3.10,32.00,22.00,32.35,0.10,1.40,3.90,1.35,0.84,3.99,1650.00,9.45,95.00,6.72,16.80,1.70,55.00,7.80,7.50
2025_Canada,4.20,21.00,13.00,23.64,0.45,1.70,3.00,1.65,0.32,2.63,1400.00,6.30,91.00,5.04,13.65,1.60,42.00,8.50,8.50
2025_India,1.80,88.00,265.00,25.24,-0.45,3.30,6.80,0.82,1.37,3.36,1250.00,8.40,88.00,4.83,16.80,1.40,68.00,7.50,6.80
